,id,Recipient (video or comment),comment
81,UgxEqmAp0Hx8k3AEid54AaABAg.9egy_5z9WRH9ehMsjKAwYN,UgxEqmAp0Hx8k3AEid54AaABAg,Is anyone stupid enough to fall for this con?
82,UgxEqmAp0Hx8k3AEid54AaABAg.9egy_5z9WRH9eh3AQSRJ8L,UgxEqmAp0Hx8k3AEid54AaABAg,"KainWarwick strategies are the top notch. I make my profits every week , made $9,130 last week."
83,UgxEqmAp0Hx8k3AEid54AaABAg.9egy_5z9WRH9eh2Ya_jrz6,UgxEqmAp0Hx8k3AEid54AaABAg,"I invest with him too, i make about a $7,000 weekly."
84,UgxEqmAp0Hx8k3AEid54AaABAg.9egy_5z9WRH9eh2BEG9sWA,UgxEqmAp0Hx8k3AEid54AaABAg,"KainWarwick is the only one I can leave my investment with and think less about it, he is my money maker.  I just received 24,300 of my investment last month.  I am very happy because he is leading me to financial freedom."
85,UgxEqmAp0Hx8k3AEid54AaABAg.9egy_5z9WRH9eh1qzSZIXI,UgxEqmAp0Hx8k3AEid54AaABAg,Trust me you won't regret trading with Mr Kain Warwick
86,UgxEqmAp0Hx8k3AEid54AaABAg.9egy_5z9WRH9eh1e8O8K3E,UgxEqmAp0Hx8k3AEid54AaABAg,THANKS A LOT I WILL CONTACT HIM RIGHT AWAY
87,UgxEqmAp0Hx8k3AEid54AaABAg.9egy_5z9WRH9eh17_eFrzI,UgxEqmAp0Hx8k3AEid54AaABAg,Please how can I reach out to Mr Kain warwick ? I urgently need his management on my INVESTMENTS !
88,UgxEqmAp0Hx8k3AEid54AaABAg.9egy_5z9WRH9eh-XfobK4P,UgxEqmAp0Hx8k3AEid54AaABAg,"I invested with Expert Kain warwick, he's the best."
89,UgxEqmAp0Hx8k3AEid54AaABAg.9egy_5z9WRH9eh-BXMbeCw,UgxEqmAp0Hx8k3AEid54AaABAg,How?
90,Ugzf10NJWReMNM5L9Eh4AaABAg,r49UF4GvGGg,Isn't this title a needless tautology? War is itself just a manifestation of violence. Is there anyone who thought there was such a thing as a peaceful origin of war before they watched this video?
91,Ugzf10NJWReMNM5L9Eh4AaABAg.9eghMWo_Waj9epj41KNP4t,Ugzf10NJWReMNM5L9Eh4AaABAg,Maybe they wanted to emphasize that.  emoji_thinking_face  emoji_person_shrugging 
92,Ugzf10NJWReMNM5L9Eh4AaABAg.9eghMWo_Waj9eh5L6kBB8u,Ugzf10NJWReMNM5L9Eh4AaABAg,"Yes, most idiots."
93,UgyMMVQHmnGTXTIqzJ94AaABAg,r49UF4GvGGg,We human can still learn from these myth.  emoji_backhand_index_pointing_left 
94,UgxNZEDiJdowL4SxC1R4AaABAg,r49UF4GvGGg,Second  emoji_2nd_place_medal 
95,UgxNZEDiJdowL4SxC1R4AaABAg.9egDNQw002F9egFsCc759t,UgxNZEDiJdowL4SxC1R4AaABAg,Appreciated ! Write me using the digit added to my name okay.......
96,UgyBjdM4M-6HLR5lGid4AaABAg,r49UF4GvGGg,First!
97,UgzRvYbNK9HiRgyAHdZ4AaABAg,wvfk1WVNpbk,Nautical drawings
98,Ugxxcm-nS_GEAaHGkc54AaABAg,wvfk1WVNpbk,U drew tht?
99,UgySjv2oFHqlmIdI10N4AaABAg,FJH1ilPdOa0,Roll your r when speaking Latin it should sound like a dog. Oh and Wolfs are animals of Mars Romulus and Remus's father
100,UgxZkqF_pNHsZV-UPF14AaABAg,FJH1ilPdOa0,Nice
101,UgxedBthYCS720zobx14AaABAg,8idmFyMlWrE,Show me more!
102,UgxcBO7rmblJ89PsixN4AaABAg,dc3KveLUfq0,Only 13 views ?This video have less views than a reposted video i can not believe that
103,UgxcBO7rmblJ89PsixN4AaABAg.9NN2RGJN66Z9NNp8DBZYzh,UgxcBO7rmblJ89PsixN4AaABAg,Yes sad
104,UgyufxyMxF-G8FjEj454AaABAg,dc3KveLUfq0,This so sussy from red Imposter this video  emoji_flushed_face 
105,UgzVxihg04cQ7lYMGhh4AaABAg,12V3cA39Ny8,Long live the Roman empire!
106,Ugze4V1GYD2QPSwEp_p4AaABAg,12V3cA39Ny8,Based and Roman pilled
107,Ugy-waON5QEwh1P3Ew14AaABAg,ooS0Hop_zhk,When you find out Italy has a functioning space agency
